time,vehicle_id,event
2015-02-01 00:44:00+00,V19705,dropoff
2015-02-01 00:44:00+00,V19244,dropoff
2015-02-01 00:44:00+00,V18410,pickup
2015-02-01 00:45:00+00,V21592,dropoff
2015-02-01 00:46:00+00,V17109,dropoff
2015-02-01 00:46:00+00,V18252,dropoff
2015-02-01 00:46:00+00,V20220,dropoff
2015-02-01 00:46:00+00,V20530,pickup
2015-02-01 00:47:00+00,V18232,pickup
2015-02-01 00:48:00+00,V17299,dropoff
2015-02-01 00:48:00+00,V18762,pickup
2015-02-01 00:48:00+00,V19687,pickup
2015-02-01 00:49:00+00,V18474,dropoff
2015-02-01 00:49:00+00,V15667,pickup
2015-02-01 00:49:00+00,V14561,pickup
2015-02-01 00:50:00+00,V16301,pickup
2015-02-01 00:50:00+00,V20792,pickup
2015-02-01 00:50:00+00,V17416,pickup
2015-02-01 00:50:00+00,V17933,pickup
2015-02-01 00:51:00+00,V21115,dropoff
2015-02-01 00:52:00+00,V14663,dropoff
2015-02-01 00:52:00+00,V17289,dropoff
2015-02-01 00:52:00+00,V19687,dropoff
2015-02-01 00:52:00+00,V14691,pickup
2015-02-01 00:52:00+00,V17783,pickup
2015-02-01 00:52:00+00,V20570,pickup
2015-02-01 00:53:00+00,V18344,pickup
2015-02-01 00:53:00+00,V14677,pickup
2015-02-01 00:54:00+00,V20150,dropoff
2015-02-01 00:54:00+00,V16260,pickup
2015-02-01 00:54:00+00,V18485,pickup
2015-02-01 00:55:00+00,V18232,dropoff
2015-02-01 00:55:00+00,V14561,dropoff
2015-02-01 00:55:00+00,V14677,dropoff
2015-02-01 00:55:00+00,V17661,pickup
2015-02-01 00:56:00+00,V19570,dropoff
2015-02-01 00:56:00+00,V14924,dropoff
2015-02-01 00:56:00+00,V18762,dropoff
2015-02-01 00:56:00+00,V16118,pickup
2015-02-01 00:57:00+00,V17933,dropoff
2015-02-01 00:57:00+00,V20570,dropoff
2015-02-01 00:58:00+00,V17416,dropoff
2015-02-01 00:58:00+00,V14706,pickup
2015-02-01 00:58:00+00,V16091,pickup
2015-02-01 00:59:00+00,V18410,dropoff
2015-02-01 00:59:00+00,V20792,dropoff
2015-02-01 00:59:00+00,V17783,dropoff
2015-02-01 01:00:00+00,V15667,dropoff
2015-02-01 01:00:00+00,V16260,dropoff
2015-02-01 01:00:00+00,V18485,dropoff
2015-02-01 01:00:00+00,V16091,dropoff
2015-02-01 01:03:00+00,V20142,pickup
2015-02-01 01:04:00+00,V16301,dropoff
2015-02-01 01:04:00+00,V18344,dropoff
2015-02-01 01:04:00+00,V20684,pickup
2015-02-01 01:07:00+00,V20530,dropoff
2015-02-01 01:07:00+00,V20142,dropoff
2015-02-01 01:09:00+00,V14706,dropoff
2015-02-01 01:10:00+00,V20684,dropoff
2015-02-01 01:10:00+00,V15792,pickup
2015-02-01 01:11:00+00,V15185,pickup
2015-02-01 01:11:00+00,V19506,pickup
2015-02-01 01:11:00+00,V15327,pickup
2015-02-01 01:12:00+00,V15552,pickup
2015-02-01 01:13:00+00,V17994,pickup
2015-02-01 01:13:00+00,V16235,pickup
2015-02-01 01:13:00+00,V20740,pickup
2015-02-01 01:13:00+00,V15173,pickup
